scenario,massie_win_probability,gallrein_win_probability,mean_massie_margin_points,sigma_margin_points,margin_80pct_low,margin_80pct_high,notes,last_updated
polling_only,0.3282557851794386,0.6717442148205615,-4.161815994116762,9.357976880151455,-16.15453126487486,7.830899276641335,Direct late public poll model only.,2026-05-19
aggregator_anchor,0.4509790710460381,0.5490209289539618,-1.2072434607645874,9.8,-13.766433460764588,11.351946539235414,"PSI correlated polling average used once, without component double-counting.",2026-05-19
market_only,0.40935690715386414,0.5906430928461359,-1.9481962626394866,8.5,-12.841371262639486,8.944978737360513,"Prediction-market component only, after binary normalization and caps.",2026-05-19
fundamentals_turnout,0.5142894839838853,0.4857105160161147,0.4120000000000001,11.5,-14.325824999999998,15.149825,"District, campaign, finance, endorsement, and turnout prior only.",2026-05-19
full_model_mid_turnout,0.4113188907854591,0.588681109214541,-2.5898337687009665,11.553834930590474,-17.39665092399919,12.216983386597255,"Bounded ensemble of direct polls, polling aggregator anchor, markets, and fundamentals.",2026-05-19
older_high_propensity_turnout,0.3539927292368784,0.6460072707631216,-4.5898337687009665,12.253834930590473,-20.293735923999186,11.114068386597255,High-propensity and older electorate stress case.,2026-05-19
younger_lower_propensity_turnout,0.48080447507448415,0.5191955249255158,-0.5898337687009665,12.253834930590473,-16.293735923999186,15.114068386597255,Younger/lower-propensity electorate stress case.,2026-05-19
massie_poll_error,0.574944110301016,0.425055889698984,2.4101662312990335,12.753834930590473,-13.934510923999188,18.754843386597255,Stress case where late polling overstates Gallrein or misses Massie local support.,2026-05-19
gallrein_poll_error,0.27588761726076716,0.7241123827392328,-7.5898337687009665,12.753834930590473,-23.934510923999188,8.754843386597255,Stress case where late polling understates Gallrein's Trump-aligned turnout.,2026-05-19
